Model,Explore,Is Hidden,Has Description,# Joins,# Unused Joins,# Fields,# Unused Fields,Query Count
temporal,dbt_model_execution_logs,False,False,0,0,16,16,0
temporal,temporal_opsca_item_return_deadline_analysis,True,False,0,0,30,30,0
temporal,unexpected_attribute_value,False,False,0,0,14,14,0
temporal,temporal_opsca_item_return_label_expired_analysis,True,False,0,0,32,32,0
temporal,temporal_lex_weight_suggester_it3_ab_test,False,False,0,0,4,4,0
temporal,temporal_lex_weight_suggester_warning_ab_test,False,False,0,0,5,5,0
temporal,tns_dac7_dashboard,False,False,1,0,407,381,487
temporal,tns_dac7_users,False,False,2,1,356,337,542
temporal,dsa_businesses_status,False,False,3,0,738,712,1821
temporal,tns_dac7_accumulated_filled_ratio_2023_legacy_users,False,False,0,0,8,5,5
temporal,temporal_emilia_visibility_experiment,False,False,0,0,4,0,0
temporal,tns_user_blocked,False,False,1,1,17,17,0
temporal,temporal_lex_gls_shipping_up_to_5kg,False,False,0,0,5,5,0
temporal,temporal_lex_inpost_es_ab_test,False,False,0,0,4,1,0
temporal,temporal_lex_correos_inpost_es_ab_test,False,False,0,0,4,1,5
temporal,temporal_lex_es_c2c_hpu_removal_ab_test,False,False,0,0,4,4,0
temporal,temporal_lex_bundles_pricing_ab_test,False,False,0,0,4,1,137
temporal,tns_payout_delayed_flow,False,False,0,0,59,37,33
temporal,tns_ml_accepted_banned,False,False,0,0,12,10,0
temporal,tns_banned_user_daily_conv_buyer,True,False,0,0,15,15,0
temporal,mangopay_card_view,False,False,1,1,332,328,129
temporal,mangopay_bank_account_view,False,False,2,0,357,334,146
temporal,scam_conversations,False,False,2,2,55,42,8
temporal,pros_subscription_self_serve_daily_active_users,True,False,0,0,14,10,4
temporal,pros_subscription_self_serve_weekly_active_users,True,False,0,0,13,10,4
temporal,pros_subscription_self_serve_monthly_active_users,True,False,0,0,13,10,4
temporal,tns_email_domain_blacklist,False,False,0,0,4,3,1
temporal,tns_moderator_feedback_item,False,False,4,1,429,410,10
temporal,item_manual_moderation,False,False,5,1,431,399,3799
temporal,tns_ato_change_email,False,False,0,0,16,4,14
temporal,shipping_disputes,False,False,17,3,632,525,1138
temporal,shipping_mangopay_fraud,False,False,5,0,283,233,1440
temporal,shipping_disputes_bundles,True,False,2,2,438,438,0
temporal,temporal_banned_items_of_total,False,False,0,0,3,3,0
temporal,temporal_intl_listing_categories_analysis,False,False,0,0,15,7,44
temporal,user_local_transaction_frequency,False,False,0,0,7,7,0
temporal,purchase_flow_analysis,True,False,3,3,292,292,0
temporal,ato_confirmed,False,False,0,0,14,6,139
temporal,ato_suspected,False,False,0,0,9,6,69
temporal,ato_funnel_user,False,False,0,0,50,44,1
temporal,ato_funnel_device,False,False,0,0,32,27,4
temporal,active_users_tc_comms_verifications,False,False,0,0,31,11,24
temporal,budgets,False,False,0,0,12,3,1246
temporal,new_cg_pros_boost_experiment,False,True,4,2,812,804,0
temporal,visibility_payment,False,False,0,0,43,28,12
temporal,motors_crm_campaigns_performance,False,False,0,0,24,24,0
temporal,dac7_fiscal_year_2024_dataset_general_directorate_taxes,False,True,0,0,9,5,27
